Фактор,Собственное значение,Доля дисперсии,Накопленная доля
F1,3.6821678156256668,0.30173319600265874,0.30173319600265874
F2,1.60232952721006,0.13130200292415767,0.4330351989268164
F3,1.5318644427169092,0.1255277807226356,0.558562979649452
F4,1.0962056665756907,0.08982796434439685,0.6483909439938489
F5,0.8956858205453384,0.0733964769613541,0.721787420955203
F6,0.8610934098720764,0.07056182108673957,0.7923492420419426
F7,0.7555298918850125,0.06191147725168851,0.8542607192936311
F8,0.599002260590452,0.04908490746505092,0.903345626758682
F9,0.5445154320312235,0.04462001456922525,0.9479656413279073
F10,0.4177308402482397,0.034230721631452965,0.9821963629593602
F11,0.2021939596102055,0.016568671690280725,0.998765034649641
F12,0.015070763597602786,0.001234965350359117,1.0
