Пара сервисов,Средняя разница,W,p,p_Holm,Значимо
Самокат — Купер,0.7277777777777779,160.0,8.405745447379791e-07,8.40574544737979e-06,да
Самокат — Ozon Fresh,0.6666666666666665,214.5,3.167582798516619e-06,2.850824518664957e-05,да
Самокат — Delivery Club,0.6,272.0,4.949978377947424e-05,0.0003959982702357939,да
Яндекс Еда — Купер,0.5166666666666668,322.5,0.00029077429214239436,0.0020354200449967607,да
Яндекс Еда — Ozon Fresh,0.4555555555555556,377.0,0.0016152010608988857,0.009691206365393314,да
Яндекс Еда — Delivery Club,0.3888888888888889,433.0,0.019142698523258114,0.09571349261629057,нет
Яндекс Еда — Самокат,-0.21111111111111114,531.5,0.1025853991247328,0.4103415964989312,нет
Delivery Club — Купер,0.12777777777777785,610.5,0.25371534656068095,0.7611460396820429,нет
Delivery Club — Ozon Fresh,0.06666666666666671,629.5,0.4454931267652045,0.890986253530409,нет
Купер — Ozon Fresh,-0.06111111111111113,643.0,0.6747238370862347,0.890986253530409,нет
