region,year,month,date,international_tourist_arrivals_million,unit,data_status,annual_total_million_used_for_scaling,source_note
Asia and the Pacific,2019,1,2019-01,30.872,million arrivals,digitized from official UN Tourism chart; annual-adjusted,362.67,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2019,2,2019-02,30.366,million arrivals,digitized from official UN Tourism chart; annual-adjusted,362.67,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2019,3,2019-03,31.985,million arrivals,digitized from official UN Tourism chart; annual-adjusted,362.67,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2019,4,2019-04,31.581,million arrivals,digitized from official UN Tourism chart; annual-adjusted,362.67,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2019,5,2019-05,29.354,million arrivals,digitized from official UN Tourism chart; annual-adjusted,362.67,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2019,6,2019-06,29.556,million arrivals,digitized from official UN Tourism chart; annual-adjusted,362.67,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2019,7,2019-07,30.872,million arrivals,digitized from official UN Tourism chart; annual-adjusted,362.67,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2019,8,2019-08,30.366,million arrivals,digitized from official UN Tourism chart; annual-adjusted,362.67,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2019,9,2019-09,27.127,million arrivals,digitized from official UN Tourism chart; annual-adjusted,362.67,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2019,10,2019-10,29.354,million arrivals,digitized from official UN Tourism chart; annual-adjusted,362.67,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2019,11,2019-11,29.556,million arrivals,digitized from official UN Tourism chart; annual-adjusted,362.67,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
Asia and the Pacific,2019,12,2019-12,31.682,million arrivals,digitized from official UN Tourism chart; annual-adjusted,362.67,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
