t,date,year,month,month_name,region,arrivals_million,log_arrivals,ma_3_month,ma_6_month,ma_12_month_trailing,trend_cycle_centered_ma12,yoy_change_percent,percent_of_2019_same_month,seasonal_additive_factor,linear_trend_million,linear_residual_million,phase,unit,data_status,source_note
1,2019-01,2019,1,Jan,Asia and the Pacific,30.872,3.4298496242353176,,,,,,100.0,2.355121875000001,17.13866666666668,13.73333333333332,pre-COVID baseline,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
2,2019-02,2019,2,Feb,Asia and the Pacific,30.366,3.413323561459996,,,,,,100.0,-0.2730343749999999,16.99771242937854,13.368287570621458,pre-COVID baseline,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
3,2019-03,2019,3,Mar,Asia and the Pacific,31.985,3.465267042902101,31.074333333333332,,,,,100.0,-2.545096875,16.856758192090407,15.128241807909593,pre-COVID baseline,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
4,2019-04,2019,4,Apr,Asia and the Pacific,31.581,3.4525556739372973,31.310666666666666,,,,,100.0,-2.5857635416666667,16.715803954802272,14.865196045197727,pre-COVID baseline,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
5,2019-05,2019,5,May,Asia and the Pacific,29.354,3.379428823189007,30.973333333333333,,,,,100.0,-2.057315625000001,16.574849717514137,12.779150282485862,pre-COVID baseline,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
6,2019-06,2019,6,Jun,Asia and the Pacific,29.556,3.3862867689264013,30.163666666666668,30.619000000000003,,,,100.0,-1.1697322916666684,16.433895480226,13.122104519774002,pre-COVID baseline,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
7,2019-07,2019,7,Jul,Asia and the Pacific,30.872,3.4298496242353176,29.927333333333333,30.619,,30.124249999999996,,100.0,0.281065625000001,16.292941242937864,14.579058757062135,pre-COVID baseline,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
8,2019-08,2019,8,Aug,Asia and the Pacific,30.366,3.413323561459996,30.264666666666667,30.619,,29.433874999999997,,100.0,0.5217739583333341,16.15198700564973,14.21401299435027,pre-COVID baseline,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
9,2019-09,2019,9,Sep,Asia and the Pacific,27.127,3.3005295418613945,29.455,29.80933333333333,,27.667541666666665,,100.0,-0.4722177083333335,16.011032768361595,11.115967231638404,pre-COVID baseline,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
10,2019-10,2019,10,Oct,Asia and the Pacific,29.354,3.379428823189007,28.948999999999998,29.43816666666667,,25.216958333333334,,100.0,0.8224864583333326,15.870078531073457,13.483921468926543,pre-COVID baseline,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
11,2019-11,2019,11,Nov,Asia and the Pacific,29.556,3.3862867689264013,28.679,29.471833333333333,,22.757166666666667,,100.0,1.660163541666667,15.729124293785322,13.826875706214679,pre-COVID baseline,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
12,2019-12,2019,12,Dec,Asia and the Pacific,31.682,3.455748696266659,30.197333333333333,29.826166666666666,30.222583333333333,20.381749999999997,,100.0,3.462548958333333,15.588170056497187,16.09382994350281,pre-COVID baseline,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
13,2020-01,2020,1,Jan,Asia and the Pacific,28.512,3.3503250512883986,29.916666666666668,29.43283333333333,30.025916666666664,17.96291666666666,-7.644467478621397,92.3555325213786,2.355121875000001,15.44721581920905,13.06478418079095,COVID shock,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
14,2020-02,2020,2,Feb,Asia and the Pacific,16.157,2.7823533922946933,25.450333333333333,27.064666666666668,28.84183333333333,15.569749999999996,-46.792465257195545,53.207534742804455,-0.2730343749999999,15.306261581920914,0.8507384180790858,COVID shock,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
15,2020-03,2020,3,Mar,Asia and the Pacific,3.802,1.3355272440662374,16.157,23.177166666666665,26.49325,13.352416666666663,-88.11317805221196,11.886821947788025,-2.545096875,15.16530734463278,-11.36330734463278,COVID shock,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
16,2020-04,2020,4,Apr,Asia and the Pacific,0.95,-0.05129329438755058,6.969666666666666,18.443166666666666,23.94066666666667,11.109916666666667,-96.99186219562395,3.008137804376049,-2.5857635416666667,15.024353107344643,-14.074353107344644,COVID shock,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
17,2020-05,2020,5,May,Asia and the Pacific,0.95,-0.05129329438755058,1.9006666666666667,13.675500000000001,21.573666666666664,8.71075,-96.76364379641616,3.2363562035838385,-2.057315625000001,14.883398870056508,-13.933398870056509,COVID shock,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
18,2020-06,2020,6,Jun,Asia and the Pacific,0.95,-0.05129329438755058,0.9499999999999998,8.553500000000001,19.18983333333333,6.214583333333334,-96.78576262011097,3.214237379889024,-1.1697322916666684,14.742444632768372,-13.792444632768373,COVID shock,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
19,2020-07,2020,7,Jul,Asia and the Pacific,1.426,0.35487332199210414,1.1086666666666665,4.039166666666666,16.735999999999994,3.801333333333333,-95.38092770147706,4.6190722985229336,0.281065625000001,14.601490395480237,-13.175490395480237,COVID shock,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
20,2020-08,2020,8,Aug,Asia and the Pacific,2.376,0.8654184015003984,1.5839999999999999,1.742333333333333,14.403499999999996,2.0664583333333333,-92.17545939537641,7.824540604623592,0.5217739583333341,14.4605361581921,-12.084536158192101,COVID shock,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
21,2020-09,2020,9,Sep,Asia and the Pacific,1.901,0.6423800635062922,1.9009999999999998,1.4254999999999998,12.301333333333332,1.3695833333333332,-92.9922217716666,7.007778228333395,-0.4722177083333335,14.319581920903964,-12.418581920903964,COVID shock,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
22,2020-10,2020,10,Oct,Asia and the Pacific,0.76,-0.2744368457017603,1.679,1.3938333333333333,9.9185,1.327375,-97.41091503713292,2.589084962867071,0.8224864583333326,14.17862768361583,-13.41862768361583,COVID shock,million arrivals,digitized from official UN Tourism chart; annual-adjusted,"UN Tourism World Tourism Barometer Statistical Annex, chart A-6 and table A-14"
