month,month_name,month_name_ru,2019_baseline_million,2020_2021_avg_million,2022_2023_avg_million,2023_million,2024_million,avg_2019_2023_million,share_2019_percent,share_2023_percent,share_change_2023_minus_2019_pp,additive_seasonal_factor_million
1,Jan,Январь,30.872,15.014,8.5115,14.57,24.543,15.5846,8.512398289358675,6.141537787107407,-2.3708605022512677,2.355121875000001
2,Feb,Февраль,30.366,8.836500000000001,9.067499999999999,15.575,25.69,13.234799999999998,8.37287789759865,6.565164793012894,-1.8077131045857566,-0.2730343749999999
3,Mar,Март,31.985,2.76,10.285499999999999,17.584,26.1,11.615199999999998,8.819288004830824,7.411997285415008,-1.4072907194158164,-2.545096875
4,Apr,Апрель,31.581,1.4855,11.177,18.087,,11.381200000000002,8.707892277022426,7.624021548072181,-1.0838707289502443,-2.5857635416666667
5,May,Май,29.354,1.4855,11.9235,18.087,,11.234399999999999,8.0938371140786,7.624021548072181,-0.4698155660064183,-2.057315625000001
6,Jun,Июнь,29.556,1.4855,13.4235,19.594,,11.8748,8.1495349779828,8.259251297225982,0.10971631924318181,-1.1697322916666684
7,Jul,Июль,30.872,1.875,15.441500000000001,21.603,,13.100999999999999,8.512398289358675,9.106083789628094,0.5936855002694195,0.281065625000001
8,Aug,Август,30.366,2.2489999999999997,15.693000000000001,22.106,,13.25,8.37287789759865,9.318108052285268,0.9452301546866178,0.5217739583333341
9,Sep,Сентябрь,27.127,1.9609999999999999,14.8955,20.297,,12.168000000000001,7.4797819511347745,8.555579441655393,1.0757974905206185,-0.4722177083333335
10,Oct,Октябрь,29.354,1.5419999999999998,16.451999999999998,21.704,,13.068400000000002,8.0938371140786,9.148657249923072,1.0548201358444729,0.8224864583333326
11,Nov,Ноябрь,29.556,1.8005,17.5535,22.307,,13.652800000000003,8.1495349779828,9.402833453466364,1.2532984754835645,1.660163541666667
12,Dec,Декабрь,31.682,2.3,20.8615,25.723,,15.600999999999999,8.735741208974526,10.84274375413616,2.1070025451616345,3.462548958333333
