year,month,arrivals,date,t,arrivals_m,phase,ma3,ma6,ma12,exp02,exp06,yoy,seasonal,residual,trend_quad,trend_lin,z_score,is_outlier_z,is_outlier_covid,is_outlier_iqr
2010,1,2390,2010-01-01,1,2.39,growth,,,,2.39,2.39,,-2.3237283653846155,,,,,False,False,False
2010,2,2534,2010-02-01,2,2.534,growth,,,,2.4188,2.4764,,-2.159052083333333,,,,,False,False,False
2010,3,3227,2010-03-01,3,3.227,growth,2.717,,,2.5804400000000003,2.92676,,-1.5593020833333333,,,,,False,False,False
2010,4,3988,2010-04-01,4,3.988,growth,3.2496666666666663,,,2.8619520000000005,3.563504,,-0.6830328525641025,,,,,False,False,False
2010,5,3999,2010-05-01,5,3.999,growth,3.738,,,3.0893616,3.8248016,,-0.4604142628205128,,,,,False,False,False
2010,6,5035,2010-06-01,6,5.035,growth,4.3406666666666665,3.5288333333333335,,3.4784892800000002,4.55092064,,0.7126306089743589,,,,,False,False,False
2010,7,7259,2010-07-01,7,7.259,growth,5.431,4.340333333333334,4.396958333333333,4.234591424,6.1757682560000005,,3.3069350961538455,-0.44489342948717825,4.307362968494494,4.337541615814901,-0.7420474029498494,False,False,False
2010,8,7373,2010-08-01,8,7.373,growth,6.555666666666667,5.146833333333333,4.413708333333332,4.862273139200001,6.8941073024,,3.641848557692308,-0.6825568910256399,4.345250649739666,4.361972385746656,-1.1512083647069595,False,False,False
2010,9,5440,2010-09-01,9,5.44,growth,6.690666666666668,5.515666666666667,4.433374999999999,4.977818511360001,6.021642920960001,,1.4833485576923078,-0.47672355769230634,4.3826410173076455,4.386403155678411,-0.7968460909137318,False,False,False
2010,10,4733,2010-10-01,10,4.733,growth,5.8486666666666665,5.639833333333333,4.453958333333333,4.928854809088,5.248457168384,,0.536707532051282,-0.2576658653846149,4.419534071198433,4.4108339256101665,-0.41971678595154205,False,False,False
2010,11,2889,2010-11-01,11,2.889,growth,4.354,5.454833333333333,4.486583333333332,4.520883847270401,3.8327828673536004,,-1.7948854166666668,0.19730208333333454,4.455929811412027,4.435264695541921,0.3635551661653795,False,False,False
2010,12,3810,2010-12-01,12,3.81,growth,3.810666666666666,5.250666666666667,4.526166666666666,4.378707077816321,3.81911314694144,,-0.7010552884615383,-0.015111378205127424,4.491828237948429,4.4596954654736765,-0.0021354437863272055,False,False,False
2011,1,2563,2011-01-01,13,2.563,growth,3.0873333333333335,4.468,4.551333333333333,4.015565662253057,3.065445258776576,7.238493723849371,-2.3237283653846155,0.3353950320512826,4.527229350807637,4.484126235405432,0.6012957231006197,False,False,False
2011,2,2763,2011-02-01,14,2.763,growth,3.0453333333333337,3.699666666666667,4.587583333333333,3.765052529802446,2.88397810351063,9.0370955011839,-2.159052083333333,0.3344687500000001,4.562133149989655,4.508557005337186,0.5997010376891233,False,False,False
2011,3,3470,2011-03-01,15,3.47,growth,2.932,3.3713333333333337,4.633958333333333,3.706042023841957,3.235591241404252,7.530213820886278,-1.5593020833333333,0.3953437500000003,4.596539635494478,4.532987775268942,0.7045033214972017,False,False,False
2011,4,4239,2011-04-01,16,4.239,growth,3.4906666666666664,3.2889999999999997,4.665083333333333,3.8126336190735657,3.8376364965617005,6.293881644934807,-0.6830328525641025,0.2569495192307698,4.63044880732211,4.557418545200697,0.4662440779575297,False,False,False
2011,5,4531,2011-05-01,17,4.531,growth,4.079999999999999,3.5626666666666664,4.687458333333334,3.956306895258853,4.25365459862468,13.303325831457858,-0.4604142628205128,0.30395592948717876,4.663860665472549,4.581849315132452,0.5471702241339752,False,False,False
2011,6,5453,2011-06-01,18,5.453,growth,4.7410000000000005,3.8365000000000005,4.710541666666667,4.255645516207083,4.973261839449872,8.301886792452828,0.7126306089743589,0.029827724358974517,4.696775209945795,4.606280085064207,0.07523162941290625,False,False,False
2011,7,7445,2011-07-01,19,7.445,growth,5.809666666666668,4.650166666666666,4.726,4.893516412965666,6.456304735779948,2.562336409973831,3.3069350961538455,-0.5879350961538452,4.729192440741848,4.630710854995963,-0.9883076632600016,False,False,False
2011,8,8057,2011-08-01,20,8.057,growth,6.985,5.5325,4.727083333333334,5.526213130372533,7.41672189431198,9.277092092770921,3.641848557692308,-0.31193189102564123,4.761112357860709,4.655141624927717,-0.5131410721177397,False,False,False
