year,total_m,mean_m,max_m,min_m,std_m
2010,52.677,4.38975,7.373,2.39,1.6642446894503335
2011,56.694,4.7245,8.057,2.563,1.7521221159185536
2012,57.701,4.808416666666667,7.995,2.599,1.809568178440437
2013,60.661,5.055083333333333,8.494,2.722,1.9229356561983002
2014,64.995,5.416250000000001,9.089,2.901,2.0509478130411276
2015,68.215,5.684583333333333,9.461,3.093,2.0791779607393504
2016,75.315,6.27625,10.334,3.386,2.3385270859706075
2017,81.867,6.82225,11.401,3.655,2.5551378943397376
2018,82.806,6.9005,11.586,3.703,2.5727897663466757
2019,83.674,6.972833333333334,11.709,3.735,2.6305368215816647
2020,19.024,1.5853333333333335,3.02,0.013,1.0923333934400443
2021,31.181,2.5984166666666666,6.08,0.405,1.9414736417255711
2022,71.658,5.9715,10.078,3.213,2.265813941651392
2023,85.096,7.091333333333334,12.159,3.866,2.77593628212613
