date,year,month,arrivals_m,z_score,is_outlier_z,is_outlier_covid,is_outlier_iqr
2019-08-01,2019,8,11.709,2.2555473249667135,True,False,False
2019-12-01,2019,12,6.131,3.284108379496127,True,False,False
2020-01-01,2020,1,2.232,0.5071099608555757,False,True,False
2020-02-01,2020,2,2.206,1.436612909823856,False,True,False
2020-03-01,2020,3,0.263,-1.8904471348732443,False,True,False
2020-04-01,2020,4,0.013,-3.0414402998187917,True,True,False
2020-05-01,2020,5,0.131,-2.6347734481170315,True,True,False
2020-06-01,2020,6,0.919,-2.710887948345991,True,True,False
2020-07-01,2020,7,2.495,-3.972195821757346,True,True,False
2020-08-01,2020,8,3.02,-3.386990419279292,True,True,False
2020-09-01,2020,9,2.757,-0.033891203451231096,False,True,False
2020-10-01,2020,10,2.573,1.160136395834295,False,True,False
2020-11-01,2020,11,1.313,2.8162585802419016,True,True,False
2020-12-01,2020,12,1.102,0.30968901050095043,False,True,False
2021-01-01,2021,1,0.405,1.5487485393477745,False,True,False
2021-02-01,2021,2,0.437,0.8995460385910848,False,True,False
2021-03-01,2021,3,0.78,0.10029412470360682,False,True,False
2021-04-01,2021,4,1.154,-0.9748052577169946,False,True,False
2021-05-01,2021,5,1.621,-0.6645478991282096,False,True,False
2021-06-01,2021,6,3.056,-0.3332892510025662,False,True,False
2021-07-01,2021,7,5.301,-1.217997541941361,False,True,False
2021-08-01,2021,8,6.08,-0.8683641449566185,False,True,False
2021-09-01,2021,9,4.677,-0.031882672344710615,False,True,False
2021-10-01,2021,10,3.586,-0.8439472489501556,False,True,False
2021-11-01,2021,11,1.84,-0.4335447501079701,False,True,False
2021-12-01,2021,12,2.244,-2.17902449698533,True,True,False
2023-07-01,2023,7,11.934,,False,False,True
2023-08-01,2023,8,12.159,,False,False,True
